term,suspicionScore,issues,mediaType,mediaUrl,sourceUrl
"NURSE",18,"related_media,video_despite_gif_candidate,selected_media_from_different_source","video","https://www.youtube.com/embed/IEVgcJA3JWk?rel=0","https://www.lifeprint.com/asl101/pages-signs/n/nurse.htm"
"OF",18,"related_media,video_despite_gif_candidate,selected_media_from_different_source","video","https://www.youtube.com/embed/D3mLq8Gchvs?rel=0","https://www.lifeprint.com/asl101/pages-signs/o/of.htm"
"PASTOR / PRIEST",18,"related_media,video_despite_gif_candidate,selected_media_from_different_source","video","https://www.lifeprint.com/asl101/videos/preacher.mp4","https://www.lifeprint.com/asl101/pages-signs/p/pastor.htm"
"PILOT",18,"related_media,video_despite_gif_candidate,selected_media_from_different_source","video","https://www.youtube.com/embed/u1pDng38AxE?=0","https://www.lifeprint.com/asl101/pages-signs/p/pilot.htm"
"POTATO",18,"related_media,video_despite_gif_candidate,selected_media_from_different_source","video","https://www.youtube.com/embed/ggo7f9YBkwY?rel=0","https://www.lifeprint.com/asl101/pages-signs/p/potato.htm"
"PROCEED",18,"related_media,video_despite_gif_candidate,selected_media_from_different_source","video","https://www.youtube.com/embed/AZqgw-USe2I?rel=0&amp;autoplay=1","https://www.lifeprint.com/asl101/pages-signs/p/proceed.htm"
"PULL",18,"related_media,video_despite_gif_candidate,selected_media_from_different_source","video","https://www.youtube.com/embed/nM7SNWW7vx8?rel=0&amp;autoplay=1","https://www.lifeprint.com/asl101/pages-signs/p/pull.htm"
"PUSH",18,"related_media,video_despite_gif_candidate,selected_media_from_different_source","video","https://www.youtube.com/embed/nM7SNWW7vx8?rel=0&amp;autoplay=1","https://www.lifeprint.com/asl101/pages-signs/p/push.htm"
"RELIEVED",18,"related_media,video_despite_gif_candidate,selected_media_from_different_source","video","https://www.youtube.com/embed/0zSHZngEFRU?rel=0","https://www.lifeprint.com/asl101/pages-signs/r/relieved.htm"
"RESPONSIBLE",18,"related_media,video_despite_gif_candidate,selected_media_from_different_source","video","https://www.youtube.com/embed/evlOvHVPgMc?rel=0","https://www.lifeprint.com/asl101/pages-signs/r/responsible.htm"
"ROCK",18,"related_media,video_despite_gif_candidate,selected_media_from_different_source","video","https://www.youtube.com/embed/VZFEhhX0FOk?rel=0","https://www.lifeprint.com/asl101/pages-signs/r/rock.htm"
"SATISFIED",18,"related_media,video_despite_gif_candidate,selected_media_from_different_source","video","https://www.youtube.com/embed/0zSHZngEFRU?rel=0","https://www.lifeprint.com/asl101/pages-signs/s/satisfied.htm"
"SAVE",18,"related_media,video_despite_gif_candidate,selected_media_from_different_source","video","https://www.youtube.com/embed/RXX7T4-saPs?rel=0","https://www.lifeprint.com/asl101/pages-signs/s/save.htm"
"SAW",18,"related_media,video_despite_gif_candidate,selected_media_from_different_source","video","https://www.youtube.com/embed/7XQiv-PxecU?rel=0","https://www.lifeprint.com/asl101/pages-signs/s/saw.htm"
"SCARECROW",18,"related_media,video_despite_gif_candidate,selected_media_from_different_source","video","https://www.youtube.com/embed/OMEUC9FKU_k?rel=0&amp;autoplay=1","https://www.lifeprint.com/asl101/pages-signs/s/scarecrow.htm"
